feature,VIF
MagpieData minimum Number,inf
MagpieData maximum Number,inf
MagpieData range Number,inf
MagpieData mean Number,10045.913130160514
MagpieData avg_dev Number,2668.5760381578843
MagpieData mode Number,
MagpieData minimum MendeleevNumber,inf
MagpieData maximum MendeleevNumber,inf
MagpieData range MendeleevNumber,inf
MagpieData mean MendeleevNumber,655.5900668632493
MagpieData avg_dev MendeleevNumber,517.2826198210763
MagpieData mode MendeleevNumber,
MagpieData minimum AtomicWeight,inf
MagpieData maximum AtomicWeight,inf
MagpieData range AtomicWeight,inf
MagpieData mean AtomicWeight,5795.07208124009
MagpieData avg_dev AtomicWeight,1985.46115355524
MagpieData mode AtomicWeight,
MagpieData minimum MeltingT,inf
MagpieData maximum MeltingT,inf
MagpieData range MeltingT,inf
MagpieData mean MeltingT,178.35164449322673
MagpieData avg_dev MeltingT,180.56726271738265
MagpieData mode MeltingT,
MagpieData minimum Column,inf
MagpieData maximum Column,inf
MagpieData range Column,inf
MagpieData mean Column,935.8844161395566
MagpieData avg_dev Column,683.4512388336657
MagpieData mode Column,
MagpieData minimum Row,inf
MagpieData maximum Row,inf
MagpieData range Row,inf
MagpieData mean Row,2305.0460051423784
MagpieData avg_dev Row,1304.4049683996743
MagpieData mode Row,
MagpieData minimum CovalentRadius,inf
MagpieData maximum CovalentRadius,inf
MagpieData range CovalentRadius,inf
MagpieData mean CovalentRadius,1756.7613014504127
MagpieData avg_dev CovalentRadius,1450.1226734465718
MagpieData mode CovalentRadius,
MagpieData minimum Electronegativity,inf
MagpieData maximum Electronegativity,inf
MagpieData range Electronegativity,inf
MagpieData mean Electronegativity,654.8873513635095
MagpieData avg_dev Electronegativity,630.9038751971655
MagpieData mode Electronegativity,
MagpieData minimum NsValence,inf
MagpieData maximum NsValence,
MagpieData range NsValence,inf
MagpieData mean NsValence,inf
MagpieData avg_dev NsValence,8549.312487908688
MagpieData mode NsValence,
MagpieData minimum NpValence,inf
MagpieData maximum NpValence,inf
MagpieData range NpValence,inf
MagpieData mean NpValence,inf
MagpieData avg_dev NpValence,285.871251364654
MagpieData mode NpValence,
MagpieData minimum NdValence,
MagpieData maximum NdValence,inf
MagpieData range NdValence,inf
MagpieData mean NdValence,inf
MagpieData avg_dev NdValence,161.0353412201891
MagpieData mode NdValence,
MagpieData minimum NfValence,
MagpieData maximum NfValence,inf
MagpieData range NfValence,inf
MagpieData mean NfValence,inf
MagpieData avg_dev NfValence,375.19791732950887
MagpieData mode NfValence,
MagpieData minimum NValence,inf
MagpieData maximum NValence,inf
MagpieData range NValence,inf
MagpieData mean NValence,inf
MagpieData avg_dev NValence,37.99970895942145
MagpieData mode NValence,
MagpieData minimum NsUnfilled,
MagpieData maximum NsUnfilled,inf
MagpieData range NsUnfilled,inf
MagpieData mean NsUnfilled,inf
MagpieData avg_dev NsUnfilled,7907.666029313731
MagpieData mode NsUnfilled,
MagpieData minimum NpUnfilled,inf
MagpieData maximum NpUnfilled,inf
MagpieData range NpUnfilled,inf
MagpieData mean NpUnfilled,inf
MagpieData avg_dev NpUnfilled,9.257562952296269
MagpieData mode NpUnfilled,
MagpieData minimum NdUnfilled,
MagpieData maximum NdUnfilled,inf
MagpieData range NdUnfilled,inf
MagpieData mean NdUnfilled,inf
MagpieData avg_dev NdUnfilled,131.4746740981429
MagpieData mode NdUnfilled,
MagpieData minimum NfUnfilled,
MagpieData maximum NfUnfilled,inf
MagpieData range NfUnfilled,inf
MagpieData mean NfUnfilled,inf
MagpieData avg_dev NfUnfilled,5508.836817730601
MagpieData mode NfUnfilled,
MagpieData minimum NUnfilled,inf
MagpieData maximum NUnfilled,inf
MagpieData range NUnfilled,inf
MagpieData mean NUnfilled,inf
MagpieData avg_dev NUnfilled,56.51663092851165
MagpieData mode NUnfilled,
MagpieData minimum GSvolume_pa,inf
MagpieData maximum GSvolume_pa,inf
MagpieData range GSvolume_pa,inf
MagpieData mean GSvolume_pa,151.90289913243998
MagpieData avg_dev GSvolume_pa,76.53409924855787
MagpieData mode GSvolume_pa,
MagpieData minimum GSbandgap,
MagpieData maximum GSbandgap,inf
MagpieData range GSbandgap,inf
MagpieData mean GSbandgap,506.73737702443054
MagpieData avg_dev GSbandgap,686.8458455819216
MagpieData mode GSbandgap,
MagpieData minimum GSmagmom,
MagpieData maximum GSmagmom,inf
MagpieData range GSmagmom,inf
MagpieData mean GSmagmom,463.0665159994756
MagpieData avg_dev GSmagmom,677.2868402138365
MagpieData mode GSmagmom,
MagpieData minimum SpaceGroupNumber,inf
MagpieData maximum SpaceGroupNumber,inf
MagpieData range SpaceGroupNumber,inf
MagpieData mean SpaceGroupNumber,38.348764962839304
MagpieData avg_dev SpaceGroupNumber,34.301258685081265
MagpieData mode SpaceGroupNumber,
