formula,in_296,pred,abs_lo,abs_hi,cqr_lo,cqr_hi,contain_abs,contain_cqr
Sr2AlBiO6,True,1.9825474879579135,1.1001754393571939,2.864919536558633,0.35223344528948164,3.223107874991592,0.0,0.0
Sr2AlCoO6,False,1.2965031809816754,0.4141311323809558,2.178875229582395,0.37469909057921547,2.3678222787429504,0.2846865364850976,0.0
Sr2AlCrO6,False,0.6375476603629421,-0.24482438823777752,1.5199197089636618,0.35391604454141457,2.719117648782847,0.0,0.0
Sr2AlCuO6,False,2.315478931993943,1.4331068833932235,3.1978509805946627,0.4481171736680175,2.7809574673444604,0.0,0.0
Sr2AlFeO6,False,0.90523350369296,0.022861455092240357,1.7876055522936796,0.5158061905539543,2.3146559178571664,0.0,0.0
Sr2AlGaO6,False,3.227291353406643,2.3449193048059236,4.109663402007363,1.4789278365516632,3.7604319135904793,0.0,0.0
Sr2AlGeO6,False,3.1089909397211284,2.226618891120409,3.991362988321848,0.5444437957719088,3.7434776595719095,0.0,0.0
Sr2AlHfO6,False,2.902252204992215,2.0198801563914954,3.7846242535929346,1.339014345331759,4.280370939334311,0.0,0.0
Sr2AlInO6,False,3.001170650354101,2.1187986017533813,3.8835426989548205,1.4214622140724495,3.552887885469656,0.0,0.0
Sr2AlIrO6,False,0.9566468912344062,0.07427484263368656,1.8390189398351258,0.18294728528108334,2.9083897775746994,0.0,0.0
Sr2AlMnO6,False,1.114562361332436,0.23219031273171642,1.9969344099331556,0.2684966117031544,2.6589427445421774,0.0,0.0
Sr2AlMoO6,False,0.8125005565623222,-0.06987149203839738,1.6948726051630418,0.22412340591192775,2.7043434174979666,0.0,0.0
Sr2AlNbO6,False,2.179548607351513,1.2971765587507935,3.0619206559522327,1.2146239479781809,3.364720903972954,0.0,0.0
Sr2AlNiO6,False,2.00133055934888,1.1189585107481603,2.8837026079495995,0.32906510422705626,2.49495808984423,0.0,0.0
Sr2AlPdO6,False,1.736303141368523,0.8539310927678034,2.6186751899692426,0.3493293205822219,2.644466317218483,0.19835560123329907,0.0
Sr2AlReO6,False,1.0907440980300467,0.20837204942932708,1.9731161466307663,0.1878144638320305,3.6533029045372243,0.0,0.0
Sr2AlRhO6,False,0.948629891265839,0.06625784266511936,1.8310019398665585,0.2522356900068944,2.4067274563001515,0.0,0.0
Sr2AlRuO6,False,0.6336452460955655,-0.2487268025051541,1.516017294696285,0.09769299152414451,2.504922280182645,0.0,0.0
