formula,pred,abs_lo,abs_hi,cqr_lo,cqr_hi,contain_abs,contain_cqr
Sr2MoGaO6,1.487884338134369,0.6055122895336493,2.3702563867350888,0.47016834940443286,2.79834708641357,0.5950668036998972,0.0
Sr2ZnReO6,1.551346588462428,0.6689745398617084,2.433718637063148,0.3766439256055556,3.1431700945921635,0.5467625899280576,0.0
Sr2WSbO6,1.4641521085589118,0.5817800599581922,2.3465241571596316,0.5148721111955872,2.712848496268634,0.566289825282631,0.0
Sr2InTeO6,1.7929592128096388,0.9105871642089192,2.675331261410358,0.24072338006377825,2.694113874169409,0.024665981500513873,0.0
Sr2MoInO6,1.3020962314940259,0.41972418289330626,2.1844682800947455,0.49512872242279016,2.6425927660100306,0.3011305241521069,0.0
Sr2FeReO6,1.2498797489741207,0.3675077003734011,2.13225179757484,0.20919942532829872,2.045782676385521,0.1551901336073998,0.0
Sr2ReInO6,1.091914650046916,0.2095426014461963,1.9742866986476355,0.480136047392719,3.166456013366381,0.0,0.0
Sr2HfIrO6,1.31318917663994,0.43081712803922034,2.1955612252406596,0.6907468130007944,2.49789243079181,0.33093525179856115,0.0
Sr2MoSnO6,1.2693860609298893,0.38701401232916965,2.1517581095306086,0.501344891294147,2.6126741392770727,0.2147995889003083,0.0
Sr2MoBiO6,1.3773033450062322,0.4949312964055126,2.259675393606952,0.4600985720381644,2.228996899345223,0.4573484069886948,0.0
Sr2WAlO6,1.6638577681150422,0.7814857195143226,2.546229816715762,0.6967286334175937,3.4565474867280193,0.37821171634121276,0.0
Sr2BiTeO6,1.4822934602151552,0.5999214116144356,2.364665508815875,0.39870604717804925,2.84486200915619,0.591983556012333,0.0
Sr2GaTeO6,1.919124022755092,1.0367519741543725,2.8014960713558117,0.2146070399443828,2.7252107115276014,0.0,0.0
Sr2ZrIrO6,1.0924480026047427,0.21007595400402312,1.9748200512054623,0.6331956751323523,2.2693488899777,0.0,0.0
Sr2GeSbO6,1.791350508483022,0.9089784598823023,2.6737225570837415,0.3392382816129542,2.9024209547296413,0.030832476875642344,0.0
