bin,n,q90_halfwidth,width
"[0.05,1.09]",243,0.7566646907300307,1.5133293814600615
"[1.09,1.61]",243,0.9471986089322774,1.8943972178645547
"[1.61,2.32]",243,1.0642586190323484,2.128517238064697
"[2.32,5.39]",243,0.8068611397355943,1.6137222794711885
