fold,n_test,mae,minutes
0,572,0.34744807612543854,9.453108521302541
1,572,0.29970704834655726,8.106648902098337
2,572,0.30210686347967186,9.83670796553294
3,571,0.29065464693346665,9.459662274519603
4,571,0.29682172595003825,8.859614670276642
5,571,0.30210722942918905,8.668039147059122
6,571,0.32214404164811916,8.279649464289347
7,571,0.3319784504325045,8.730896373589834
8,571,0.31743170396476805,8.886691689491272
9,571,0.3422525584839835,8.287818972269694
