formula,formula_norm,tier,bg_pred,bg_ci_lo,bg_ci_lo_clip,bg_ci_hi,ci_width,dist_to_pv_centre,metal_risk,bg_pred_zeros,bg_pred_MP,e_class,mondrian_lo,mondrian_hi,mondrian_tier,reclassified
Sr2MoGaO6,Sr2GaMoO6,A1,1.4996814492857715,0.6393009270733387,0.6393009270733387,2.345494398125,1.7061934710516613,0.0003185507142282,False,1.5210598614126614,1.5790180166594667,open,0.7600715277970367,2.2392913707745064,A1,False
Sr2ZnReO6,Sr2ZnReO6,A1,1.5070363509501905,0.6532713006871356,0.6532713006871356,2.3657395378713217,1.7124682371841862,0.0070363509501905,False,1.530822930060498,1.585006358876973,open,0.7674264294614557,2.2466462724389253,A1,False
Sr2WSbO6,Sr2SbWO6,A1,1.548142612810719,0.6774733526242263,0.6774733526242263,2.4093244558664333,1.731851103242207,0.0481426128107189,False,1.5667358174291353,1.6173252420741404,open,0.8085326913219841,2.287752534299454,A1,False
Sr2InTeO6,Sr2InTeO6,A1,1.6292537315219298,0.7554992467616903,0.7554992467616903,2.5046373843103584,1.749138137548668,0.1292537315219297,False,1.6338412218194636,1.703236700947899,open,0.8896438100331949,2.3688636530106644,A1,True
Sr2MoInO6,Sr2InMoO6,A1,1.3481817984027054,0.4865155700021522,0.4865155700021522,2.1999840100302013,1.713468440028049,0.1518182015972946,False,1.38179077440116,1.46779479417569,open,0.6085718769139705,2.08779171989144,A1,True
Sr2FeReO6,Sr2FeReO6,A1,1.3455966042897765,0.4617080186806881,0.4617080186806881,2.2002087119879805,1.7385006933072924,0.1544033957102235,False,1.4119107242484157,1.5707375596667583,open,0.6059866828010416,2.0852065257785117,A1,False
Sr2ReInO6,Sr2InReO6,A1,1.3272967178447928,0.4723853476128419,0.4723853476128419,2.1748873526245207,1.7025020050116788,0.1727032821552072,False,1.3363764602720043,1.3637111799148218,open,0.5876867963560579,2.066906639333528,A1,False
Sr2HfIrO6,Sr2HfIrO6,A1,1.3043097482972472,0.4565979710065879,0.4565979710065879,2.1587613414803384,1.7021633704737504,0.1956902517027527,False,1.3567605849820887,1.6384314417583254,open,0.5646998268085124,2.043919669785982,A1,False
Sr2MoSnO6,Sr2SnMoO6,A1,1.2793190448284522,0.4265052865381835,0.4265052865381835,2.13638846932084,1.7098831827826566,0.2206809551715478,False,1.2961147640329655,1.3890245953957177,open,0.5397091233397173,2.018928966317187,A1,True
Sr2MoBiO6,Sr2BiMoO6,A1,1.2691088904837151,0.4213465173213184,0.4213465173213184,2.124996087295647,1.7036495699743286,0.2308911095162849,False,1.233523529838621,1.2390676309586437,open,0.5294989689949803,2.00871881197245,A1,False
