model,global_r2,global_mae,sr2_r2,sr2_mae
CatBoost,0.7740930531812947,0.32034824843055476,0.7611201168121149,0.4225663357764083
XGBoost,0.7889264744000611,0.304915345753366,0.7791895270960338,0.3939409401758429
LightGBM,0.7871612089665831,0.31666610083856134,0.7486791090900315,0.43123374185042707
Stacking,0.7891356255250992,0.30298674194816544,0.7828596556797934,0.39028625124030514
