formula,pred_OQMD,pred_zeros,pred_MP,d_zeros,d_MP
Sr2ScVO6,2.1036837135572215,2.1684480012012077,2.2614236389741986,0.06476428764398623,0.15773992541697712
Sr2ScCrO6,0.7326833696417737,0.8207259592234442,0.9667951551523514,0.08804258958167044,0.23411178551057765
Sr2ScNbO6,2.9962043713480724,3.0392194511605743,3.0704095029064313,0.043015079812501966,0.07420513155835895
Sr2ScMoO6,0.5929608891006153,0.6691796744621135,0.8172450390847817,0.07621878536149818,0.22428414998416646
Sr2ScRuO6,0.40574360261932596,0.39382823626901897,0.3884635009813772,-0.011915366350306988,-0.01728010163794874
Sr2ScTaO6,3.65371509346036,3.6600889951623805,3.6726970797202307,0.006373901702020568,0.018981986259870798
Sr2ScWO6,0.7335558523955428,0.8507857947137508,1.1108447102513384,0.11722994231820805,0.3772888578557956
Sr2ScReO6,0.6229157541570164,0.6577187796668802,0.7311820448924334,0.034803025509863805,0.10826629073541705
Sr2ScIrO6,0.8440131466817101,0.8849139459561449,1.0925884008773155,0.040900799274434796,0.24857525419560533
Sr2ScSbO6,3.580140230204467,3.6090679043106157,3.654936608070974,0.028927674106148604,0.07479637786650706
Sr2ScBiO6,2.60966003670714,2.5977898415600245,2.5876925596429117,-0.011870195147115403,-0.02196747706422819
Sr2ScTeO6,2.051171488678743,2.1051737330695075,2.1824261335723443,0.05400224439076462,0.1312546448936014
Sr2TiVO6,0.688717749370583,0.763724640020541,0.860179044214705,0.07500689064995791,0.17146129484412198
Sr2TiCrO6,0.6423351194447166,0.7410485555237778,0.8942109980454345,0.09871343607906125,0.2518758786007179
Sr2TiMnO6,1.0888963379394063,1.0936966005153432,1.1086483130063005,0.004800262575936909,0.01975197506689419
Sr2TiCoO6,0.8096599414461677,0.7678872401393237,0.7493433082079182,-0.04177270130684396,-0.06031663323824954
Sr2TiNiO6,0.7348202536779657,0.6990129559541707,0.6876493869725882,-0.035807297723794984,-0.04717086670537751
Sr2TiZrO6,1.5239792635327956,1.594543954666585,1.6488167978558286,0.07056469113378938,0.12483753432303302
Sr2TiNbO6,0.6205966422328061,0.7403853802362913,0.9223992695810337,0.11978873800348522,0.3018026273482276
Sr2TiMoO6,0.5491120181643663,0.6743982913127081,0.8741310534013842,0.12528627314834184,0.3250190352370179
Sr2TiRuO6,0.5223709309131215,0.5380047550014544,0.5790755843162563,0.015633824088332915,0.0567046534031348
Sr2TiRhO6,0.7078140026068782,0.7437730906016153,0.8517670930083715,0.03595908799473713,0.1439530904014933
Sr2TiPdO6,0.9626709936312917,0.9722366572603117,1.0141739450302236,0.009565663629020005,0.05150295139893191
Sr2TiHfO6,3.107579424327247,3.1290366241656185,3.1103487535416225,0.021457199838371466,0.00276932921437556
Sr2TiTaO6,0.6702368830290334,0.81803404077942,1.04949852186642,0.1477971577503866,0.3792616388373865
Sr2TiWO6,0.486035277506491,0.6651895461098019,0.962383276991368,0.17915426860331085,0.47634799948487705
Sr2TiReO6,0.4814354861230993,0.5557435340120142,0.6727935269135338,0.07430804788891487,0.1913580407904345
Sr2TiIrO6,0.9572235998915383,0.9950012717343797,1.2028000159452215,0.03777767184284142,0.2455764160536832
Sr2TiGeO6,2.7150563817502174,2.739105992896867,2.7841133124003337,0.024049611146649497,0.06905693065011631
Sr2TiSnO6,2.9945645667875374,2.986433981885724,3.0032628361232545,-0.008130584901813176,0.008698269335717157
Sr2TiSbO6,2.000334353961021,2.0356071660231656,2.1266996759741272,0.03527281206214461,0.12636532201310624
Sr2TiBiO6,1.987948530001213,1.9491767222153618,1.940978821302496,-0.03877180778585121,-0.04696970869871686
Sr2TiTeO6,2.178029596116477,2.209762504896045,2.2875300547802495,0.031732908779567914,0.10950045866377245
Sr2VCrO6,1.0676338088143347,1.1630422076713014,1.3756629498219806,0.09540839885696673,0.3080291410076459
Sr2VMnO6,0.7622187046643082,0.7944420624351973,0.8847961049504968,0.03222335777088914,0.12257740028618858
Sr2VFeO6,1.066255360691729,1.1067152407985161,1.186890832309683,0.04045988010678703,0.12063547161795385
