band_gap,src
0.8349999999999995,OQMD
1.151,OQMD
0.577,OQMD
1.9249999999999998,OQMD
0.641,OQMD
1.7870000000000004,OQMD
1.9299999999999997,OQMD
4.01,OQMD
0.48349999999999904,MP
0.8240000000000001,OQMD
0.29150000000000004,MP
0.5899999999999999,OQMD
0.43299999999999983,OQMD
1.5570000000000004,OQMD
1.447,OQMD
0.4079999999999995,OQMD
1.963,OQMD
0.8529999999999998,OQMD
0.3230000000000004,OQMD
2.1260000000000003,OQMD
0.7999999999999998,OQMD
1.883,OQMD
0.9239999999999999,OQMD
2.074,OQMD
2.482,OQMD
0.35800000000000054,OQMD
2.5139999999999993,OQMD
0.6250000000000004,OQMD
0.3460000000000001,OQMD
1.3039999999999994,OQMD
2.2119999999999997,OQMD
1.0110000000000001,OQMD
0.117,JARVIS
2.855,OQMD
2.034,OQMD
3.4640000000000004,OQMD
2.981,OQMD
1.7804,MP
1.2469999999999999,OQMD
4.225999999999999,OQMD
0.732,OQMD
3.463899999999999,MP
0.8679999999999994,OQMD
0.5699999999999994,OQMD
1.2647,MP
1.2640000000000002,OQMD
3.8939999999999997,OQMD
2.4169999999999994,OQMD
3.5377,MP
3.2524,MP
2.7910000000000004,OQMD
1.4189999999999996,OQMD
2.2550000000000003,OQMD
0.3548,MP
1.9659999999999997,OQMD
1.0270000000000001,OQMD
1.189,OQMD
1.1400000000000001,OQMD
2.3149999999999995,OQMD
0.196299999999999,MP
1.9009999999999998,OQMD
0.757,OQMD
2.6519,MP
2.6540000000000004,OQMD
0.899,OQMD
1.4928,MP
1.6680000000000001,OQMD
1.5669999999999993,OQMD
1.2689999999999997,OQMD
1.072,OQMD
0.531,OQMD
2.438,OQMD
1.6419999999999995,OQMD
1.8772000000000002,MP
1.46,OQMD
0.187899999999999,MP
2.556,OQMD
2.063,JARVIS
1.5991,MP
1.3950000000000005,OQMD
1.9820000000000002,OQMD
3.1239999999999997,OQMD
0.5080000000000005,OQMD
0.42100000000000026,OQMD
0.32200000000000006,OQMD
0.6200000000000001,OQMD
1.8719999999999999,OQMD
2.244,OQMD
1.7440000000000002,OQMD
0.859,OQMD
1.7409999999999997,OQMD
2.135,OQMD
3.887,OQMD
2.0729,MP
2.433,OQMD
1.9880000000000004,OQMD
0.7320000000000002,OQMD
0.513,OQMD
4.367,MP
1.29,OQMD
2.187,OQMD
2.9540000000000006,OQMD
0.526999999999999,MP
3.7460000000000004,OQMD
3.0987,MP
3.122,OQMD
0.77,OQMD
2.256,OQMD
1.8560000000000003,OQMD
2.185,OQMD
3.273,OQMD
3.906,OQMD
2.9627,MP
4.1770000000000005,OQMD
3.186,OQMD
0.359,OQMD
2.2470000000000008,OQMD
1.3770000000000002,OQMD
0.5566999999999991,MP
3.447,OQMD
2.6054,MP
1.017,MP
1.4249999999999998,OQMD
1.263,OQMD
0.39999999999999947,OQMD
3.2370000000000005,OQMD
1.6399999999999997,OQMD
0.37600000000000033,OQMD
0.34199999999999964,OQMD
2.3440000000000003,OQMD
1.2400000000000002,OQMD
1.8100000000000005,OQMD
3.6529999999999996,OQMD
1.101,OQMD
1.9820000000000002,OQMD
1.3920000000000003,OQMD
0.3440000000000003,OQMD
2.144,OQMD
2.231,OQMD
0.20800000000000002,MP
1.867,OQMD
1.2030000000000003,OQMD
1.8119999999999994,OQMD
2.263,OQMD
0.796,OQMD
2.141,OQMD
0.8889,MP
0.39199999999999946,OQMD
