formula,formula_norm,tier,bg_pred,bg_ci_lo,bg_ci_lo_clip,bg_ci_hi,ci_width,dist_to_pv_centre,metal_risk,bg_pred_zeros,bg_pred_MP
Sr2MoGaO6,Sr2GaMoO6,A1,1.4996814492857717,0.6393009270733387,0.6393009270733387,2.345494398125,1.7061934710516613,0.00031855071422826065,False,1.5210598614126614,1.5790180166594667
Sr2ZnReO6,Sr2ZnReO6,A1,1.5070363509501905,0.6532713006871356,0.6532713006871356,2.3657395378713217,1.7124682371841862,0.007036350950190506,False,1.5308229300604979,1.585006358876973
Sr2WSbO6,Sr2SbWO6,A1,1.548142612810719,0.6774733526242263,0.6774733526242263,2.4093244558664333,1.731851103242207,0.048142612810718965,False,1.5667358174291353,1.6173252420741404
Sr2InTeO6,Sr2InTeO6,A1,1.6292537315219298,0.7554992467616903,0.7554992467616903,2.5046373843103584,1.749138137548668,0.12925373152192976,False,1.6338412218194636,1.703236700947899
Sr2MoInO6,Sr2InMoO6,A1,1.3481817984027054,0.4865155700021522,0.4865155700021522,2.1999840100302013,1.713468440028049,0.15181820159729464,False,1.38179077440116,1.4677947941756901
Sr2FeReO6,Sr2FeReO6,A1,1.3455966042897765,0.4617080186806881,0.4617080186806881,2.2002087119879805,1.7385006933072924,0.15440339571022355,False,1.4119107242484157,1.5707375596667583
Sr2ReInO6,Sr2InReO6,A1,1.3272967178447928,0.4723853476128419,0.4723853476128419,2.1748873526245207,1.7025020050116788,0.17270328215520725,False,1.3363764602720045,1.3637111799148218
Sr2HfIrO6,Sr2HfIrO6,A1,1.3043097482972472,0.45659797100658794,0.45659797100658794,2.1587613414803384,1.7021633704737504,0.19569025170275278,False,1.3567605849820887,1.6384314417583254
Sr2MoSnO6,Sr2SnMoO6,A1,1.2793190448284522,0.42650528653818354,0.42650528653818354,2.13638846932084,1.7098831827826566,0.22068095517154784,False,1.2961147640329655,1.3890245953957177
Sr2MoBiO6,Sr2BiMoO6,A1,1.2691088904837151,0.42134651732131845,0.42134651732131845,2.124996087295647,1.7036495699743286,0.2308911095162849,False,1.233523529838621,1.2390676309586435
Sr2WAlO6,Sr2AlWO6,A1,1.7598154972916256,0.9061430733438625,0.9061430733438625,2.600828730673228,1.6946856573293656,0.25981549729162556,False,1.8276503816220342,1.9947518340119095
Sr2BiTeO6,Sr2BiTeO6,A1,1.2219630055685282,0.3524652966381061,0.3524652966381061,2.091075599915992,1.738610303277886,0.2780369944314718,False,1.2561804212576737,1.338962088333309
Sr2GaTeO6,Sr2GaTeO6,A2,1.8158606761770197,0.9387855205505372,0.9387855205505372,2.701569213720502,1.7627836931699647,0.31586067617701974,False,1.838648900729438,1.9296767166056241
Sr2ZrIrO6,Sr2ZrIrO6,A2,1.1540412842842906,0.31302171091749376,0.31302171091749376,2.009985540053388,1.6969638291358944,0.34595871571570935,False,1.1726382667493438,1.397827706715634
Sr2GeSbO6,Sr2GeSbO6,A2,1.8517941393213622,0.9868111367597145,0.9868111367597145,2.708695706920139,1.7218845701604244,0.35179413932136216,False,1.9060566475854637,2.067266133241057
